Numéro	URL	Code_HTTP	Encodage	Nb_mots
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	   13919
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    4125
3	fr.wikipedia.org/wiki/Robot_d%27indexation	301	Pas présent	       0
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    6541
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    4020
6	https://roboty.magistry.fr	000	Pas présent	       0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	    2295
8	https://fr.wiktionary.org/wiki/robot	429	utf-8	     264
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	utf-8	     264
10	https://fr.wikipedia.org/wiki/Robotique	429	utf-8	     264
